status_id,page_id,post_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,status_published_year,status_published_month,status_published_days,status_published_wdays,status_published_hour,status_published_minute
1050855161656896_1050858841656528,1050855161656890,1050858841656520,photo,2016-09-10T10:30:00Z,17,0,0,17,0,0,0,0,0,2016,Sep,10,SAT,10,30
1050855161656896_1058663487542730,1050855161656890,1058663487542730,photo,2016-09-20T00:43:00Z,351,12,22,349,2,0,0,0,0,2016,Sep,20,TUE,0,43
1050855161656896_1060126464063099,1050855161656890,1060126464063090,photo,2016-09-21T23:03:00Z,2,0,0,1,1,0,0,0,0,2016,Sep,21,WED,23,3
1050855161656896_1061334757275603,1050855161656890,1061334757275600,photo,2016-09-23T11:19:00Z,16,0,0,14,1,0,1,0,0,2016,Sep,23,FRI,11,19
1050855161656896_1061863470556065,1050855161656890,1061863470556060,photo,2016-09-24T02:58:00Z,89,0,0,89,0,0,0,0,0,2016,Sep,24,SAT,2,58
1050855161656896_1061906620551750,1050855161656890,1061906620551750,photo,2016-09-24T04:37:00Z,86,0,0,86,0,0,0,0,0,2016,Sep,24,SAT,4,37
1050855161656896_1061918183883927,1050855161656890,1061918183883920,photo,2016-09-24T05:07:00Z,196,2,3,195,1,0,0,0,0,2016,Sep,24,SAT,5,7
1050855161656896_1061944223881323,1050855161656890,1061944223881320,photo,2016-09-24T06:07:00Z,4,0,0,4,0,0,0,0,0,2016,Sep,24,SAT,6,7
1050855161656896_1062020473873698,1050855161656890,1062020473873690,photo,2016-09-24T08:15:00Z,9,0,0,7,2,0,0,0,0,2016,Sep,24,SAT,8,15
1050855161656896_1063071050435307,1050855161656890,1063071050435300,photo,2016-09-25T13:29:00Z,93,26,34,90,3,0,0,0,0,2016,Sep,25,SUN,13,29
1050855161656896_1063592313716514,1050855161656890,1063592313716510,photo,2016-09-26T05:48:00Z,7,0,0,7,0,0,0,0,0,2016,Sep,26,MON,5,48
1050855161656896_1067647913310954,1050855161656890,1067647913310950,photo,2016-10-01T01:17:00Z,1,0,0,1,0,0,0,0,0,2016,Oct,1,SAT,1,17
1050855161656896_1070127156396363,1050855161656890,1070127156396360,photo,2016-10-04T01:49:00Z,15,0,1,14,1,0,0,0,0,2016,Oct,4,TUE,1,49
1050855161656896_1073563326052746,1050855161656890,1073563326052740,photo,2016-10-08T02:33:00Z,236,0,5,235,0,1,0,0,0,2016,Oct,8,SAT,2,33
1050855161656896_1074576555951423,1050855161656890,1074576555951420,photo,2016-10-09T08:36:00Z,10,0,0,10,0,0,0,0,0,2016,Oct,9,SUN,8,36
1050855161656896_1075094719232940,1050855161656890,1075094719232940,video,2016-10-10T01:07:00Z,6,0,0,6,0,0,0,0,0,2016,Oct,10,MON,1,7
1050855161656896_1075096739232738,1050855161656890,1075096739232730,photo,2016-10-10T01:18:00Z,8,0,0,8,0,0,0,0,0,2016,Oct,10,MON,1,18
1050855161656896_1075422549200157,1050855161656890,1075422549200150,photo,2016-10-10T11:31:00Z,10,1,0,10,0,0,0,0,0,2016,Oct,10,MON,11,31
1050855161656896_1075998879142524,1050855161656890,1075998879142520,photo,2016-10-11T05:53:00Z,50,0,0,50,0,0,0,0,0,2016,Oct,11,TUE,5,53
1050855161656896_1077407169001695,1050855161656890,1077407169001690,photo,2016-10-12T22:16:00Z,91,2,2,91,0,0,0,0,0,2016,Oct,12,WED,22,16
1050855161656896_1077472635661815,1050855161656890,1077472635661810,photo,2016-10-13T00:25:00Z,11,0,2,11,0,0,0,0,0,2016,Oct,13,THU,0,25
1050855161656896_1077531542322591,1050855161656890,1077531542322590,photo,2016-10-13T02:25:00Z,2,0,0,2,0,0,0,0,0,2016,Oct,13,THU,2,25
1050855161656896_1077754805633598,1050855161656890,1077754805633590,photo,2016-10-13T06:54:00Z,10,0,0,10,0,0,0,0,0,2016,Oct,13,THU,6,54
1050855161656896_1079730855435993,1050855161656890,1079730855435990,photo,2016-10-15T04:05:00Z,9,0,0,9,0,0,0,0,0,2016,Oct,15,SAT,4,5
1050855161656896_1082363701839375,1050855161656890,1082363701839370,photo,2016-10-17T22:05:00Z,11,1,6,11,0,0,0,0,0,2016,Oct,17,MON,22,5
1050855161656896_1084623804946698,1050855161656890,1084623804946690,photo,2016-10-20T06:05:00Z,12,0,0,12,0,0,0,0,0,2016,Oct,20,THU,6,5
1050855161656896_1086181854790893,1050855161656890,1086181854790890,photo,2016-10-22T01:57:00Z,230,23,14,222,8,0,0,0,0,2016,Oct,22,SAT,1,57
1050855161656896_1087021054706973,1050855161656890,1087021054706970,photo,2016-10-23T01:43:00Z,9,0,0,9,0,0,0,0,0,2016,Oct,23,SUN,1,43
1050855161656896_1087928124616266,1050855161656890,1087928124616260,photo,2016-10-24T02:36:00Z,69,1,3,69,0,0,0,0,0,2016,Oct,24,MON,2,36
1050855161656896_1090116271064118,1050855161656890,1090116271064110,photo,2016-10-26T04:03:00Z,256,24,10,256,0,0,0,0,0,2016,Oct,26,WED,4,3
1050855161656896_1095363797206032,1050855161656890,1095363797206030,photo,2016-10-31T00:53:00Z,239,9,3,235,2,2,0,0,0,2016,Oct,31,MON,0,53
1050855161656896_1096334073775671,1050855161656890,1096334073775670,photo,2016-11-01T01:13:00Z,23,0,0,23,0,0,0,0,0,2016,Nov,1,TUE,1,13
